c,theta,network,optimal_tau
0.18,0.30000000000000004,G1,0.030495687170321917
0.18,0.30000000000000004,G2,0.27363091641517245
0.18,0.30000000000000004,G3,0.16715809119037325
0.18,0.4,G1,0.027266918126392262
0.18,0.4,G2,0.23699495969599085
0.18,0.4,G3,0.14888792077007743
0.18,0.5,G1,0.02462963788839762
0.18,0.5,G2,0.20957036384060262
0.18,0.5,G3,0.1339870923215685
0.18,0.6000000000000001,G1,0.02247133643228595
0.18,0.6000000000000001,G2,0.18875936385720604
0.18,0.6000000000000001,G3,0.12182207719237433
0.18,0.7000000000000001,G1,0.020697318335445705
0.18,0.7000000000000001,G2,0.1726764250626664
0.18,0.7000000000000001,G3,0.11184560004882313
0.18,0.8,G1,0.019225168837853714
0.18,0.8,G2,0.16000075214539763
0.18,0.8,G3,0.10361402952735277
0.18,0.9,G1,0.017992730178454746
0.18,0.9,G2,0.14982322298148842
0.18,0.9,G3,0.09676112771662522
0.18,1.0,G1,0.016950937289675595
0.18,1.0,G2,0.14150993018730523
0.18,1.0,G3,0.0910104531121426
0.18,1.1,G1,0.016064766992593824
0.18,1.1,G2,0.13461674608427593
0.18,1.1,G3,0.08613895250673674
0.18,1.2000000000000002,G1,0.015297731193083272
0.18,1.2000000000000002,G2,0.1288263169733808
0.18,1.2000000000000002,G3,0.0819774475074278
0.18,1.3,G1,0.014636520764897295
0.18,1.3,G2,0.12390247976768401
0.18,1.3,G3,0.07839755563189772
0.18,1.4000000000000001,G1,0.01405822649178399
0.18,1.4000000000000001,G2,0.11967481667863207
0.18,1.4000000000000001,G3,0.0752907350860083
0.18,1.5,G1,0.013550977826107886
0.18,1.5,G2,0.11601475788482361
0.18,1.5,G3,0.07258176791246602
0.18,1.6,G1,0.013101434661736867
0.18,1.6,G2,0.11281835180086153
0.18,1.6,G3,0.0702023947389082
0.18,1.7000000000000002,G1,0.012699982069278873
0.18,1.7000000000000002,G2,0.11000840375287711
0.18,1.7000000000000002,G3,0.06810517031541036
0.18,1.8,G1,0.012344736321269268
0.18,1.8,G2,0.1075222926623299
0.18,1.8,G3,0.0662424152087379
0.18,1.9000000000000001,G1,0.012025272281218918
0.18,1.9000000000000001,G2,0.10531150869570934
0.18,1.9000000000000001,G3,0.06458391904137308
0.18,2.0,G1,0.011737444321440416
0.18,2.0,G2,0.10333484031093887
0.18,2.0,G3,0.06310013310764018
0.19999999999999998,0.0,G1,0.045772494045538376
0.19999999999999998,0.0,G2,0.4841864340173901
0.19999999999999998,0.0,G3,0.25387443600059995
0.19999999999999998,0.1,G1,0.04000071926306924
0.19999999999999998,0.1,G2,0.39681071831927534
0.19999999999999998,0.1,G3,0.2209548492674455
0.19999999999999998,0.2,G1,0.03521881258079926
0.19999999999999998,0.2,G2,0.3311002213697256
0.19999999999999998,0.2,G3,0.19380199883985122
0.19999999999999998,0.30000000000000004,G1,0.0312878699151579
0.19999999999999998,0.30000000000000004,G2,0.28207625674179493
0.19999999999999998,0.30000000000000004,G3,0.17153757813803389
0.19999999999999998,0.4,G1,0.028074298219052704
0.19999999999999998,0.4,G2,0.24559827075466023
0.19999999999999998,0.4,G3,0.15335715415436924
0.19999999999999998,0.5,G1,0.02545380213251715
0.19999999999999998,0.5,G2,0.21828262157060652
0.19999999999999998,0.5,G3,0.13854271811466246
0.19999999999999998,0.6000000000000001,G1,0.02331002046837045
0.19999999999999998,0.6000000000000001,G2,0.19753231195491747
0.19999999999999998,0.6000000000000001,G3,0.12645116815063148
0.19999999999999998,0.7000000000000001,G1,0.021546028922947727
0.19999999999999998,0.7000000000000001,G2,0.18147260998982723
0.19999999999999998,0.7000000000000001,G3,0.11653417362643224
0.19999999999999998,0.8,G1,0.02008160330547605
0.19999999999999998,0.8,G2,0.16880103798218069
0.19999999999999998,0.8,G3,0.10834699458273707
0.19999999999999998,0.9,G1,0.01885329761016498
0.19999999999999998,0.9,G2,0.15860891903083107
0.19999999999999998,0.9,G3,0.10152860134525814
0.19999999999999998,1.0,G1,0.017815415877342575
0.19999999999999998,1.0,G2,0.15027675630359438
0.19999999999999998,1.0,G3,0.09579588435713028
0.19999999999999998,1.1,G1,0.016928656910951665
0.19999999999999998,1.1,G2,0.14336095510117636
0.19999999999999998,1.1,G3,0.09093872997130667
0.19999999999999998,1.2000000000000002,G1,0.01616550392365128
0.19999999999999998,1.2000000000000002,G2,0.13754478893735902
